# assembly_accession	taxid	species_taxid	organism_name	ftp_path	superkingdom	phylum	class	order	family	genus	species	infraspecific_name
GCF_002073715.2	490	490	Neisseria sicca	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/715/GCF_002073715.2_ASM207371v2	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria sicca	strain=FDAARGOS_260
GCF_000967305.2	511	511	Alcaligenes faecalis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/305/GCF_000967305.2_ASM96730v2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes faecalis	strain=ZD02
GCF_001709315.1	549	549	Pantoea agglomerans	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/709/315/GCF_001709315.1_ASM170931v1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea agglomerans	strain=C410P1
GCF_001022195.1	571	571	Klebsiella oxytoca	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/022/195/GCF_001022195.1_ASM102219v1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	strain=CAV1374
GCF_001447335.1	652	652	Aeromonas schubertii	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/447/335/GCF_001447335.1_ASM144733v1	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas schubertii	strain=WL1483
GCF_002215135.1	672	672	Vibrio vulnificus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/135/GCF_002215135.1_ASM221513v1	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio vulnificus	strain=CECT 4999
GCF_001558255.2	673	673	Grimontia hollisae	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/255/GCF_001558255.2_ASM155825v2	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Grimontia	Grimontia hollisae	strain=ATCC 33564
GCF_001558415.2	676	676	Vibrio fluvialis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/415/GCF_001558415.2_ASM155841v2	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio fluvialis	strain=ATCC 33809
GCF_002196515.1	687	687	Vibrio gazogenes	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/196/515/GCF_002196515.1_ASM219651v1	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio gazogenes	strain=ATCC 43942
GCF_900087055.1	703	703	Plesiomonas shigelloides	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/087/055/GCF_900087055.1_31289_E01	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	Plesiomonas	Plesiomonas shigelloides	strain=NCTC10360
GCF_001594265.1	714	714	Aggregatibacter actinomycetemcomitans	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/265/GCF_001594265.1_ASM159426v1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter actinomycetemcomitans	strain=624
GCF_000754275.1	747	747	Pasteurella multocida	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/275/GCF_000754275.1_ASM75427v1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida	strain=ATCC 43137
GCF_001190745.1	824	824	Campylobacter gracilis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/190/745/GCF_001190745.1_ASM119074v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter gracilis	strain=ATCC 33236
GCF_002127965.1	847	847	Oxalobacter formigenes	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/127/965/GCF_002127965.1_ASM212796v1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	Oxalobacter formigenes	strain=HC-1
GCF_000195755.1	882	881	Desulfovibrio vulgaris str. Hildenborough	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/755/GCF_000195755.1_ASM19575v1	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio vulgaris	strain=Hildenborough
GCF_000021385.1	883	881	Desulfovibrio vulgaris str. 'Miyazaki F'	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/385/GCF_000021385.1_ASM2138v1	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio vulgaris	strain=Miyazaki F
GCF_001854245.1	897	897	Desulfococcus multivorans	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/854/245/GCF_001854245.1_ASM185424v1	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus	Desulfococcus multivorans	strain=DSM 2059
GCF_900116045.1	901	901	Desulfovibrio piger	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/116/045/GCF_900116045.1_DESPIGER	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio piger	
GCF_002028405.1	926	926	Thiomonas intermedia	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/028/405/GCF_002028405.1_ASM202840v1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	Thiomonas	Thiomonas intermedia	strain=ATCC 15466
GCF_001040945.1	964	964	Herbaspirillum seropedicae	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/040/945/GCF_001040945.1_ASM104094v1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum seropedicae	strain=Z67
GCF_001402875.1	1079	1079	Blastochloris viridis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/402/875/GCF_001402875.1_ASM140287v1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Blastochloris	Blastochloris viridis	strain=ATCC 19567
GCF_001663175.1	1112	1112	Porphyrobacter neustonensis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/175/GCF_001663175.1_ASM166317v1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Porphyrobacter	Porphyrobacter neustonensis	strain=DSM 9434
GCF_001698145.1	1246	1246	Leuconostoc lactis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/698/145/GCF_001698145.1_ASM169814v1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc lactis	strain=WiKim40
GCF_001767275.1	1254	1254	Pediococcus acidilactici	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/767/275/GCF_001767275.1_ASM176727v1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus acidilactici	strain=ZPA017
GCF_000725405.1	1274	1274	Dermacoccus nishinomiyaensis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/725/405/GCF_000725405.1_ASM72540v1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	Dermacoccus	Dermacoccus nishinomiyaensis	strain=M25
GCF_000816085.1	1284	1284	Staphylococcus hyicus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/085/GCF_000816085.1_ASM81608v1	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus hyicus	strain=ATCC 11249
GCF_001559115.2	1286	1286	Staphylococcus simulans	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/115/GCF_001559115.2_ASM155911v2	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus simulans	strain=FDAARGOS_124
GCF_000706685.1	1288	1288	Staphylococcus xylosus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/706/685/GCF_000706685.1_ASM70668v1	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus	strain=HKUOPL8
GCF_002209165.2	1296	1296	Staphylococcus sciuri	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/209/165/GCF_002209165.2_ASM220916v2	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sciuri	strain=FDAARGOS_285
GCF_000785515.1	1304	1304	Streptococcus salivarius	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/785/515/GCF_000785515.1_ASM78551v1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	strain=NCTC 8618
GCF_000831485.1	1346	1346	Streptococcus iniae	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/485/GCF_000831485.1_ASM83148v1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus iniae	strain=YSFST01-82
GCF_001465835.2	1374	1374	Planococcus kocurii	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/465/835/GCF_001465835.2_ASM146583v2	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus kocurii	strain=ATCC 43650
GCF_001543175.1	1376	1376	Aerococcus urinae	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/543/175/GCF_001543175.1_ASM154317v1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus urinae	strain=CCUG36881
GCF_001543285.1	1377	1377	Aerococcus viridans	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/543/285/GCF_001543285.1_ASM154328v1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus viridans	strain=CCUG4311
GCF_000832605.1	1405	1405	Bacillus mycoides	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/832/605/GCF_000832605.1_ASM83260v1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mycoides	strain=ATCC 6462
GCF_001578205.1	1408	1408	Bacillus pumilus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/578/205/GCF_001578205.1_ASM157820v1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pumilus	strain=SH-B9
GCF_001753205.1	1421	1421	Lysinibacillus sphaericus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/205/GCF_001753205.1_ASM175320v1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus sphaericus	strain=LMG 22257
GCF_001295365.1	1426	1426	Parageobacillus thermoglucosidasius	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/295/365/GCF_001295365.1_ASM129536v1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Parageobacillus	Parageobacillus thermoglucosidasius	strain=DSM 2542
GCF_002173495.1	1452	1452	Bacillus atrophaeus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/173/495/GCF_002173495.1_ASM217349v1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus atrophaeus	strain=SRCM101359
GCF_001590685.1	1476	1476	Sporosarcina psychrophila	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/590/685/GCF_001590685.1_ASM159068v1	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	Sporosarcina psychrophila	strain=DSM 6497
GCF_001578185.1	1478	1478	Bacillus simplex	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/578/185/GCF_001578185.1_ASM157818v1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus simplex	strain=SH-B26
GCF_001050115.1	1479	1479	Bacillus smithii	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/050/115/GCF_001050115.1_ASM105011v1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus smithii	strain=DSM 4216
GCF_001878675.1	1482	1482	Virgibacillus halodenitrificans	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/878/675/GCF_001878675.1_ASM187867v1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus halodenitrificans	strain=PDB-F2
GCF_001456065.2	1492	1492	Clostridium butyricum	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/456/065/GCF_001456065.2_ASM145606v2	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium butyricum	strain=KNU-L09
GCF_001854185.1	1497	1497	Clostridium formicaceticum	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/854/185/GCF_001854185.1_ASM185418v1	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium formicaceticum	strain=ATCC 27076
GCF_000196455.1	1511	1511	Acetoanaerobium sticklandii	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/455/GCF_000196455.1_ASM19645v1	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium sticklandii	strain=DSM 519
GCF_001642655.1	1519	1519	Clostridium tyrobutyricum	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/642/655/GCF_001642655.1_ASM164265v1	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium tyrobutyricum	strain=KCTC 5387
GCF_000833105.2	1520	1520	Clostridium beijerinckii	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/833/105/GCF_000833105.2_ASM83310v2	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii	strain=NCIMB 14988
GCF_001877035.1	1552	238834	Clostridium estertheticum subsp. estertheticum	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/877/035/GCF_001877035.1_ASM187703v1	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium estertheticum	strain=DSM 8809
GCF_002082015.1	1571	1571	Sporosarcina ureae	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/015/GCF_002082015.1_ASM208201v1	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	Sporosarcina ureae	strain=P17a
GCF_001647635.1	1575	1575	Leifsonia xyli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/647/635/GCF_001647635.1_ASM164763v1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	Leifsonia xyli	strain=SE134
GCF_001308285.1	1587	1587	Lactobacillus helveticus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/308/285/GCF_001308285.1_ASM130828v1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus helveticus	strain=CAUH18
GCF_002224565.1	1599	1599	Lactobacillus sakei	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/224/565/GCF_002224565.1_ASM222456v1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sakei	strain=FAM18311
GCF_001042405.1	1600	1600	Lactobacillus acetotolerans	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/042/405/GCF_001042405.1_ASM104240v1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acetotolerans	strain=NBRC 13120
GCF_002240375.1	1601	1601	Lactobacillus agilis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/240/375/GCF_002240375.1_ASM224037v1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus agilis	strain=La3
GCF_000191545.1	1604	1604	Lactobacillus amylovorus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/545/GCF_000191545.1_ASM19154v1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus amylovorus	strain=30SC
GCF_000612055.1	1661	1661	Trueperella pyogenes	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/612/055/GCF_000612055.1_ASM61205v1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella pyogenes	strain=TP6375
GCF_000737865.1	1687	1687	Bifidobacterium coryneforme	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/737/865/GCF_000737865.1_ASM73786v1	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium coryneforme	strain=LMG18911
GCF_001606005.1	1703	1703	Brevibacterium linens	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/606/005/GCF_001606005.1_ASM160600v1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium linens	strain=BS258
GCF_001941345.1	1705	1705	Corynebacterium stationis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/345/GCF_001941345.1_ASM194134v1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium stationis	strain=622=DSM 20302
GCF_002162335.1	1710	1710	Cellulosimicrobium cellulans	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/162/335/GCF_002162335.1_ASM216233v1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	Cellulosimicrobium cellulans	strain=PSBB019
GCF_001457455.1	1717	1717	Corynebacterium diphtheriae	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/457/455/GCF_001457455.1_NCTC11397	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae	strain=NCTC11397
GCF_000807675.2	1736	1736	Eubacterium limosum	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/675/GCF_000807675.2_ASM80767v2	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium limosum	strain=ATCC 8486
GCF_001441165.1	1748	1748	Acidipropionibacterium acidipropionici	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/441/165/GCF_001441165.1_ASM144116v1	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium acidipropionici	strain=CGMCC 1.2230
GCF_001307545.1	1766	1766	Mycolicibacterium fortuitum	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/545/GCF_001307545.1_ASM130754v1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium fortuitum	strain=CT6
GCF_001583415.1	1771	1771	Mycolicibacterium phlei	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/583/415/GCF_001583415.1_ASM158341v1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium phlei	strain=CCUG 21000
GCF_900078775.1	1791	1791	Mycolicibacterium aurum	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/078/775/GCF_900078775.1_ASM90007877v1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium aurum	
GCF_000827005.1	1888	1888	Streptomyces albus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/827/005/GCF_000827005.1_ASM82700v1	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albus	strain=DSM 41398
GCF_002082605.1	1894	1894	Kitasatospora aureofaciens	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/605/GCF_002082605.1_ASM208260v1	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora aureofaciens	strain=DM-1
GCF_001693675.1	1901	1901	Streptomyces clavuligerus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/693/675/GCF_001693675.1_ASM169367v1	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces clavuligerus	strain=F613-1
GCF_000761215.1	1907	1907	Streptomyces glaucescens	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/761/215/GCF_000761215.1_ASM76121v1	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces glaucescens	strain=GLA.O
GCF_001685355.1	1915	1915	Streptomyces lincolnensis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/685/355/GCF_001685355.1_ASM168535v1	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces lincolnensis	strain=NRRL 2936
GCF_002192455.1	1940	1940	Streptomyces albireticuli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/192/455/GCF_002192455.1_ASM219245v1	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albireticuli	strain=MDJK11
GCF_001509405.1	2041	2041	Aeromicrobium erythreum	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/509/405/GCF_001509405.1_ASM150940v1	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	Aeromicrobium erythreum	strain=AR18
