# assembly_accession	taxid	species_taxid	organism_name	ftp_path	superkingdom	phylum	class	order	family	genus	species	infraspecific_name
GCF_004135735.1	56	56	Sorangium cellulosum	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/735/GCF_004135735.1_ASM413573v1	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium cellulosum	strain=So ceGT47
GCF_002222655.1	63	63	Vitreoscilla filiformis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/655/GCF_002222655.1_ASM222265v1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Vitreoscilla	Vitreoscilla filiformis	strain=ATCC 15551
GCF_002355975.1	69	69	Lysobacter enzymogenes	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/975/GCF_002355975.1_ASM235597v1	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter enzymogenes	strain=M497-1
GCF_005954665.1	69	69	Lysobacter enzymogenes	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/954/665/GCF_005954665.1_ASM595466v1	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter enzymogenes	strain=YC36
GCF_003149495.1	114	114	Gemmata obscuriglobus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/149/495/GCF_003149495.1_ASM314949v1	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Gemmataceae	Gemmata	Gemmata obscuriglobus	strain=DSM 5831
GCF_002442595.1	139	139	Borreliella burgdorferi	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/442/595/GCF_002442595.1_ASM244259v1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	strain=B331
GCF_003367295.1	139	139	Borreliella burgdorferi	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/367/295/GCF_003367295.1_ASM336729v1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	strain=MM1
GCF_002151465.1	139	139	Borreliella burgdorferi	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/465/GCF_002151465.1_ASM215146v1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	strain=PAli
GCF_002151485.1	139	139	Borreliella burgdorferi	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/485/GCF_002151485.1_ASM215148v1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	strain=PAbe
GCF_002151505.1	139	139	Borreliella burgdorferi	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/505/GCF_002151505.1_ASM215150v1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	strain=B31_NRZ
GCF_003568645.1	142	142	Borrelia turicatae	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/568/645/GCF_003568645.1_ASM356864v1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia turicatae	strain=BTE5EL
GCF_002850235.1	159	159	Brachyspira hyodysenteriae	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/850/235/GCF_002850235.1_ASM285023v1	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira hyodysenteriae	strain=BH718
GCF_005885795.1	161	160	Treponema pallidum subsp. pallidum	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/885/795/GCF_005885795.1_ASM588579v1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema pallidum	strain=X-4
GCF_005222625.1	173	173	Leptospira interrogans	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/625/GCF_005222625.1_ASM522262v1	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira interrogans	strain=FMAS_AW1
GCF_005222585.1	173	173	Leptospira interrogans	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/585/GCF_005222585.1_ASM522258v1	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira interrogans	strain=FMAS_KW2
GCF_005222565.1	173	173	Leptospira interrogans	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/565/GCF_005222565.1_ASM522256v1	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira interrogans	strain=FMAS_KW1
GCF_001315015.1	192	192	Azospirillum brasilense	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/315/015/GCF_001315015.1_ASM131501v1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum brasilense	strain=Sp 7
GCF_005222165.1	192	192	Azospirillum brasilense	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/165/GCF_005222165.1_ASM522216v1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum brasilense	strain=MTCC4035
GCF_005222145.1	192	192	Azospirillum brasilense	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/145/GCF_005222145.1_ASM522214v1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum brasilense	strain=MTCC4038
GCF_000632475.1	192	192	Azospirillum brasilense	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/475/GCF_000632475.1_ASM63247v2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum brasilense	strain=Az39
GCF_005222205.1	192	192	Azospirillum brasilense	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/205/GCF_005222205.1_ASM522220v1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum brasilense	strain=MTCC4039
GCF_001936355.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/936/355/GCF_001936355.1_ASM193635v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=YH502
GCF_001417635.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/417/635/GCF_001417635.1_ASM141763v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=HC2-48
GCF_002024185.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/024/185/GCF_002024185.1_ASM202418v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=aerotolerant OR12
GCF_001639125.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/639/125/GCF_001639125.1_ASM163912v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=YH501
GCF_001865555.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/555/GCF_001865555.1_ASM186555v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=BG2108
GCF_001865535.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/535/GCF_001865535.1_ASM186553v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=ZV1224
GCF_001865515.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/515/GCF_001865515.1_ASM186551v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=WA333
GCF_001865495.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/495/GCF_001865495.1_ASM186549v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=BP3183
GCF_001865475.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/475/GCF_001865475.1_ASM186547v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=MG1116
GCF_001865455.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/455/GCF_001865455.1_ASM186545v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=YF2105
GCF_003030205.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/030/205/GCF_003030205.1_ASM303020v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=CFSAN054106
GCF_005517455.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/517/455/GCF_005517455.1_ASM551745v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=S9
GCF_004307315.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/307/315/GCF_004307315.1_ASM430731v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=RM2228
GCF_000954195.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/954/195/GCF_000954195.1_ASM95419v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=FB1
GCF_001305715.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/715/GCF_001305715.1_ASM130571v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=BFR-CA-9557
GCF_001717605.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/717/605/GCF_001717605.1_ASM171760v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=14983A
GCF_002407145.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/407/145/GCF_002407145.1_ASM240714v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=CFSAN032805
GCF_002843985.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/843/985/GCF_002843985.1_ASM284398v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=YH503
GCF_001951335.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/951/335/GCF_001951335.1_ASM195133v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=NS4-9-1
GCF_002024325.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/024/325/GCF_002024325.1_ASM202432v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=NCTC12662
GCF_900638185.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/185/GCF_900638185.1_56527_G01	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=NCTC13265
GCF_001563565.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/563/565/GCF_001563565.1_ASM156356v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=RM3194
GCF_002101355.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/355/GCF_002101355.1_ASM210135v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=YH002
GCF_003060785.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/060/785/GCF_003060785.1_ASM306078v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=NCTC 12664
GCF_003060765.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/060/765/GCF_003060765.1_ASM306076v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=NCTC 12661
GCF_003060745.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/060/745/GCF_003060745.1_ASM306074v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=NCTC 12660
GCF_003060725.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/060/725/GCF_003060725.1_ASM306072v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=12567
GCF_900638195.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/195/GCF_900638195.1_56553_F01	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=NCTC13261
GCF_900638285.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/285/GCF_900638285.1_57043_B01	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=NCTC12851
GCF_900638175.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/175/GCF_900638175.1_56527_F01	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=NCTC13266
GCF_001951315.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/951/315/GCF_001951315.1_ASM195131v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=NS4-5-1
GCF_900638165.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/165/GCF_900638165.1_56527_E01	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=NCTC13268
GCF_001951295.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/951/295/GCF_001951295.1_ASM195129v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=NS4-1-1
GCF_001951255.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/951/255/GCF_001951255.1_ASM195125v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=HF5-5-1
GCF_002587225.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/587/225/GCF_002587225.1_ASM258722v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=FDAARGOS_421
GCF_001870105.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/870/105/GCF_001870105.1_ASM187010v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=ZP3204
GCF_002587105.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/587/105/GCF_002587105.1_ASM258710v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=FDAARGOS_422
GCF_001951235.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/951/235/GCF_001951235.1_ASM195123v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=HF5-4A-4
GCF_002407125.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/407/125/GCF_002407125.1_ASM240712v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=CFSAN032806
GCF_001870085.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/870/085/GCF_001870085.1_ASM187008v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=YQ2210
GCF_001865435.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/435/GCF_001865435.1_ASM186543v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=IF1100
GCF_001951275.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/951/275/GCF_001951275.1_ASM195127v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=HF5-7-1
GCF_001865415.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/415/GCF_001865415.1_ASM186541v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=TS1218
GCF_001865395.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/395/GCF_001865395.1_ASM186539v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=FJ3124
GCF_001412295.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/412/295/GCF_001412295.1_ASM141229v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=CJM1cam
GCF_003368065.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/368/065/GCF_003368065.1_ASM336806v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=CJ515CC45
GCF_001506185.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/185/GCF_001506185.1_ASM150618v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=CJ677CC519
GCF_900638225.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/225/GCF_900638225.1_56553_E01	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=NCTC13257
GCF_001506225.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/225/GCF_001506225.1_ASM150622v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=CJ677CC534
GCF_001506205.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/205/GCF_001506205.1_ASM150620v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=CJ677CC002
GCF_003030185.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/030/185/GCF_003030185.1_ASM303018v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=CFSAN054107
GCF_001506245.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/245/GCF_001506245.1_ASM150624v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=CJ677CC536
GCF_001506265.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/265/GCF_001506265.1_ASM150626v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=CJ677CC073
GCF_001506765.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/765/GCF_001506765.1_ASM150676v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=CJ677CC085
GCF_001506745.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/745/GCF_001506745.1_ASM150674v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=CJ677CC039
GCF_001506725.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/725/GCF_001506725.1_ASM150672v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=CJ677CC014
GCF_001506705.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/705/GCF_001506705.1_ASM150670v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=CJ677CC520
GCF_001506685.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/685/GCF_001506685.1_ASM150668v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=CJ677CC538
GCF_001506665.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/665/GCF_001506665.1_ASM150666v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=CJ677CC528
GCF_001506645.1	197	197	Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/645/GCF_001506645.1_ASM150664v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	strain=CJ677CC542
